Region,Crop,Soil_Type,Irrigation_Type,Rainfall_mm,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Fertilizer_kg_per_hectare,Irrigation_Hours,Pest_Level,Crop_Yield_Tons_per_Hectare
Tamil Nadu,Cotton,Loamy,Sprinkler,323.7,30.2,51.7,31.1,118.0,8.2,4.9,4.78
Karnataka,Maize,Clay,Canal,733.2,24.6,54.6,39.8,86.5,9.9,4.5,5.56
Punjab,Maize,Black Soil,Canal,771.8,32.4,75.8,43.9,71.8,9.9,3.6,6.37
Karnataka,Groundnut,Clay,Canal,699.2,26.1,76.7,41.6,113.6,4.4,4.1,4.98
Maharashtra,Rice,Black Soil,Rainfed,376.0,30.7,57.4,28.0,170.6,8.2,2.5,4.47
Maharashtra,Cotton,Black Soil,Sprinkler,1130.8,24.8,36.0,69.5,106.1,4.3,3.0,6.24
Maharashtra,Groundnut,Sandy,Drip,639.5,38.6,68.1,45.8,147.9,6.4,1.8,5.28
Maharashtra,Sugarcane,Red Soil,Drip,731.1,30.8,62.9,44.7,85.4,8.6,6.3,5.64
Punjab,Rice,Black Soil,Sprinkler,250.0,39.5,62.6,31.8,70.1,10.2,4.5,4.44
Andhra Pradesh,Rice,Sandy,Canal,1130.9,31.3,79.5,60.5,130.9,0.6,7.1,5.53
West Bengal,Sugarcane,Red Soil,Drip,677.4,25.8,69.7,54.4,176.4,7.3,7.6,5.96
Tamil Nadu,Maize,Black Soil,Drip,801.7,31.3,56.3,49.2,122.3,11.2,1.0,7.15
Maharashtra,Groundnut,Black Soil,Sprinkler,1026.6,31.6,53.5,51.4,143.9,7.7,5.3,5.78
Karnataka,Wheat,Clay,Drip,631.2,29.5,64.8,49.6,167.3,7.2,1.1,5.75
Maharashtra,Cotton,Clay,Canal,991.9,30.5,57.1,50.7,113.7,5.3,3.8,6.39
Karnataka,Wheat,Red Soil,Sprinkler,326.5,31.0,67.1,35.8,109.7,11.1,4.1,4.6
West Bengal,Sugarcane,Black Soil,Canal,901.2,24.0,80.3,53.5,131.5,5.4,1.2,6.69
West Bengal,Rice,Loamy,Drip,1125.9,23.7,51.4,50.8,137.8,6.7,2.2,7.36
West Bengal,Rice,Clay,Drip,652.3,24.8,69.1,28.9,66.0,5.6,4.1,4.72
Karnataka,Cotton,Red Soil,Canal,1026.2,28.5,79.0,48.0,125.4,7.3,3.8,6.13
Maharashtra,Rice,Black Soil,Rainfed,1183.5,27.1,67.0,59.2,115.0,11.3,1.7,6.67
West Bengal,Rice,Black Soil,Drip,723.9,24.1,76.7,47.3,87.4,4.3,2.2,6.25
Punjab,Cotton,Loamy,Rainfed,705.7,31.1,64.6,50.7,112.6,7.3,0.8,5.08
Karnataka,Groundnut,Red Soil,Drip,582.4,29.1,70.0,37.2,74.2,8.2,1.3,5.1
Karnataka,Groundnut,Black Soil,Rainfed,667.9,28.7,73.3,51.2,62.1,4.6,2.8,4.51
Maharashtra,Cotton,Clay,Rainfed,600.6,27.0,61.1,41.1,117.3,6.8,5.3,4.19
Karnataka,Sugarcane,Loamy,Rainfed,582.2,26.5,91.9,43.2,146.6,12.6,5.5,5.86
Karnataka,Rice,Red Soil,Canal,1043.7,24.6,74.9,56.5,102.8,1.7,6.8,5.46
West Bengal,Rice,Loamy,Rainfed,606.2,31.7,83.6,31.9,81.4,5.7,4.3,4.77
Maharashtra,Sugarcane,Clay,Rainfed,836.9,25.2,80.9,39.9,86.8,7.8,3.8,5.73
West Bengal,Groundnut,Red Soil,Rainfed,788.4,28.8,71.9,38.5,134.2,5.9,4.4,5.0
West Bengal,Maize,Loamy,Drip,1109.6,34.6,84.6,59.2,173.4,15.7,4.4,7.17
Maharashtra,Maize,Sandy,Rainfed,669.3,26.7,70.3,39.9,142.0,8.6,0.6,4.81
Tamil Nadu,Maize,Clay,Drip,863.9,31.8,59.2,58.8,160.5,3.9,6.9,6.27
West Bengal,Groundnut,Clay,Rainfed,954.0,30.3,68.2,48.9,78.3,0.0,0.0,5.41
Punjab,Groundnut,Clay,Rainfed,1107.7,29.2,55.9,43.9,112.4,8.0,5.6,5.46
Punjab,Sugarcane,Sandy,Canal,666.1,29.7,42.8,37.6,150.7,4.7,3.6,5.59
Karnataka,Rice,Sandy,Drip,644.1,27.6,57.8,41.8,66.0,10.9,1.5,5.46
Punjab,Sugarcane,Black Soil,Rainfed,546.4,28.1,68.9,,92.0,6.2,4.5,5.29
Karnataka,Sugarcane,Loamy,Drip,1272.0,25.8,80.7,50.9,148.0,5.3,3.3,7.02
Tamil Nadu,Groundnut,Black Soil,Drip,1084.6,28.2,57.7,55.5,124.0,5.2,2.3,6.21
Maharashtra,Maize,Loamy,Sprinkler,770.7,25.7,80.1,49.3,81.2,10.0,1.0,5.34
Maharashtra,Wheat,Sandy,Canal,1204.9,32.0,53.5,51.3,57.9,8.2,0.9,5.9
Maharashtra,Rice,Sandy,Canal,757.6,21.2,57.0,55.8,161.8,12.3,2.4,5.46
Punjab,Groundnut,Black Soil,Canal,939.4,29.9,85.4,45.3,43.1,6.4,2.8,6.36
Tamil Nadu,Maize,Red Soil,Sprinkler,782.2,29.3,68.6,38.6,137.1,9.6,1.3,6.35
Punjab,Wheat,Black Soil,Sprinkler,867.5,29.0,65.9,37.5,96.3,9.6,3.6,5.69
Punjab,Wheat,Loamy,Canal,844.2,32.1,70.8,53.4,151.6,9.0,1.6,7.08
Tamil Nadu,Groundnut,Black Soil,Sprinkler,686.5,26.9,53.5,42.3,78.5,5.5,4.1,5.56
Tamil Nadu,Cotton,Clay,Sprinkler,1020.3,29.0,64.0,47.6,206.5,8.4,5.7,7.07
Tamil Nadu,Rice,Loamy,Sprinkler,937.5,21.1,68.0,39.6,129.1,6.7,4.0,5.92
Tamil Nadu,Wheat,Loamy,Canal,1006.1,26.3,82.8,47.8,134.8,6.6,3.3,6.7
Maharashtra,Groundnut,Red Soil,Canal,850.4,31.4,48.0,60.5,87.9,4.6,2.5,5.71
Andhra Pradesh,Groundnut,Sandy,Canal,580.6,22.6,89.2,26.6,110.3,0.6,6.1,4.07
Andhra Pradesh,Maize,Loamy,Sprinkler,1156.1,28.6,66.5,50.1,111.2,10.7,3.2,6.47
Tamil Nadu,Cotton,Sandy,Canal,722.2,25.3,54.7,53.8,177.9,8.3,8.0,5.12
Andhra Pradesh,Rice,Black Soil,Sprinkler,860.1,27.6,52.5,54.0,129.0,3.0,1.4,6.16
Andhra Pradesh,Sugarcane,Clay,Rainfed,919.8,25.5,71.3,44.6,134.0,9.2,4.0,6.63
Tamil Nadu,Maize,Red Soil,Sprinkler,858.6,23.0,51.8,47.7,133.6,10.8,6.0,6.04
Andhra Pradesh,Wheat,Sandy,Drip,981.4,29.5,61.3,52.3,137.0,9.3,2.3,6.58
Punjab,Wheat,Loamy,Canal,1016.1,27.8,65.0,51.2,66.4,4.3,3.1,6.34
Karnataka,Maize,Sandy,Canal,730.5,30.5,81.7,54.0,186.7,4.8,4.6,5.6
Karnataka,Groundnut,Loamy,Drip,1137.6,31.2,80.2,55.5,84.3,5.4,4.2,5.86
Tamil Nadu,Wheat,Sandy,Sprinkler,721.3,32.9,60.3,49.8,113.7,9.6,4.5,5.13
Maharashtra,Cotton,Loamy,Rainfed,854.1,28.5,65.4,47.4,168.6,8.4,5.6,5.56
Tamil Nadu,Rice,Black Soil,Drip,694.7,33.1,48.9,30.2,182.7,15.4,2.9,6.39
Maharashtra,Cotton,Loamy,Drip,631.8,24.1,43.5,33.6,143.2,2.1,6.1,4.58
Karnataka,Wheat,Loamy,Sprinkler,1009.7,31.6,53.3,44.3,97.3,6.8,0.4,6.29
Tamil Nadu,Sugarcane,Clay,Canal,1400.0,29.8,81.5,58.5,119.5,1.2,5.4,6.79
West Bengal,Rice,Loamy,Sprinkler,700.4,28.9,77.4,55.0,120.8,8.8,5.6,6.14
Punjab,Rice,Clay,Drip,1047.4,29.8,72.6,53.4,122.1,10.2,2.1,7.06
Andhra Pradesh,Maize,Red Soil,Drip,708.3,24.2,50.5,42.1,,11.3,0.9,5.47
Maharashtra,Maize,Clay,Canal,777.7,23.2,59.5,51.9,159.1,7.6,3.1,5.65
West Bengal,Sugarcane,Black Soil,Canal,1166.7,34.8,57.7,45.5,119.7,1.3,4.2,6.35
Andhra Pradesh,Groundnut,Clay,Canal,543.8,27.3,66.0,35.7,89.7,6.8,2.9,5.08
Andhra Pradesh,Rice,Red Soil,Sprinkler,485.6,27.3,65.3,33.3,97.6,8.3,4.4,5.13
Tamil Nadu,Sugarcane,Black Soil,Canal,760.8,23.6,56.0,46.4,124.4,4.0,7.0,5.13
Andhra Pradesh,Maize,Sandy,Drip,926.0,22.1,72.2,53.5,65.9,6.2,1.0,5.96
Punjab,Maize,Sandy,Drip,882.0,27.6,70.7,49.9,145.7,3.2,0.0,6.55
West Bengal,Rice,Clay,Rainfed,859.3,26.6,59.3,49.4,123.2,5.2,3.4,5.93
Andhra Pradesh,Cotton,Clay,Sprinkler,787.5,28.0,71.7,42.5,169.8,9.7,2.3,6.64
Tamil Nadu,Wheat,Red Soil,Rainfed,953.0,28.3,81.5,50.8,117.7,9.0,2.6,5.5
Punjab,Maize,Red Soil,Drip,250.0,38.0,85.1,26.2,77.0,2.8,5.8,3.56
Karnataka,Groundnut,Loamy,Rainfed,614.8,26.6,73.9,44.4,73.1,4.9,3.3,5.06
West Bengal,Groundnut,Red Soil,Drip,759.4,34.3,73.5,41.0,101.3,7.2,3.4,5.75
Andhra Pradesh,Maize,Loamy,Rainfed,935.0,34.6,65.1,41.6,105.0,7.7,2.7,5.51
Tamil Nadu,Cotton,Black Soil,Canal,1107.7,31.0,80.4,52.9,95.1,5.0,3.4,6.41
Karnataka,Cotton,Clay,Rainfed,585.3,27.1,55.2,28.2,119.5,8.4,4.0,4.7
Karnataka,Sugarcane,Black Soil,Canal,1100.6,22.6,79.0,61.4,94.3,6.9,8.5,6.8
Maharashtra,Groundnut,Red Soil,Canal,680.4,29.9,64.5,46.8,123.9,0.0,4.0,4.71
Punjab,Sugarcane,Black Soil,Sprinkler,751.4,32.1,85.9,45.8,96.8,5.3,5.6,5.47
Andhra Pradesh,Groundnut,Black Soil,Canal,907.9,35.0,75.1,38.0,137.1,5.2,3.8,5.28
Tamil Nadu,Wheat,Black Soil,Canal,735.3,24.2,67.2,39.2,104.1,9.0,0.0,7.06
Maharashtra,Wheat,Red Soil,Rainfed,1024.2,27.0,65.2,50.8,158.6,9.1,2.5,5.49
Punjab,Rice,Black Soil,Drip,691.0,24.2,74.3,40.7,137.8,2.0,4.0,5.85
Maharashtra,Sugarcane,Loamy,Sprinkler,694.3,25.5,73.7,32.2,121.8,8.3,4.8,6.56
West Bengal,Maize,Red Soil,Canal,1011.4,30.7,63.2,42.4,107.7,6.8,3.9,5.54
Punjab,Sugarcane,Black Soil,Sprinkler,612.1,25.3,69.1,38.6,61.8,7.4,5.2,4.56
Punjab,Maize,Red Soil,Rainfed,834.8,24.7,78.8,38.2,164.5,5.2,0.9,4.77
Andhra Pradesh,Cotton,Sandy,Canal,414.7,31.2,51.6,43.6,91.2,6.8,3.6,3.9
Punjab,Sugarcane,Loamy,Rainfed,1180.3,29.8,76.7,57.5,118.2,10.5,5.9,6.22
Maharashtra,Cotton,Black Soil,Sprinkler,1045.4,29.4,74.3,46.3,127.0,7.3,1.8,6.77
Punjab,Wheat,Sandy,Rainfed,1385.0,25.4,82.2,66.6,108.6,6.9,5.5,6.22
Andhra Pradesh,Wheat,Sandy,Sprinkler,1074.4,33.2,59.4,57.7,162.4,5.6,5.4,5.18
Andhra Pradesh,Rice,Red Soil,Rainfed,531.5,28.1,68.1,40.0,72.3,10.2,1.3,4.28
West Bengal,Sugarcane,Sandy,Sprinkler,927.1,37.5,70.5,47.9,175.7,3.2,4.1,6.3
Maharashtra,Cotton,Loamy,Drip,578.0,28.6,76.9,37.7,138.5,4.6,3.8,5.37
Karnataka,Maize,Loamy,Rainfed,1127.2,18.7,73.1,49.9,106.4,3.0,3.2,6.09
Karnataka,Wheat,Clay,Rainfed,537.7,18.5,53.1,30.4,106.8,7.6,0.8,4.81
Punjab,Wheat,Loamy,Drip,527.2,30.5,71.5,47.3,37.4,10.5,3.0,5.11
West Bengal,Maize,Sandy,Drip,425.8,33.2,92.1,32.5,85.3,6.0,3.2,4.65
Tamil Nadu,Cotton,Loamy,Rainfed,672.6,24.9,75.3,42.0,102.6,3.8,0.4,5.28
Punjab,Cotton,Red Soil,Drip,628.3,36.4,87.7,35.2,121.2,11.9,1.2,4.9
West Bengal,Sugarcane,Clay,Canal,502.4,34.7,80.5,36.0,159.1,8.4,1.8,5.27
Maharashtra,Sugarcane,Sandy,Sprinkler,1217.8,28.8,84.3,72.5,186.3,7.8,1.6,8.41
Maharashtra,Groundnut,Clay,Sprinkler,896.6,30.2,71.7,43.1,124.5,6.4,4.1,5.23
Maharashtra,Groundnut,Sandy,Sprinkler,870.7,31.6,74.3,55.5,122.2,9.0,5.1,5.4
Maharashtra,Rice,Red Soil,Canal,1129.6,35.6,71.1,53.1,97.8,7.8,2.9,6.03
Maharashtra,Wheat,Clay,Drip,836.4,30.7,68.1,50.0,55.0,5.6,4.9,5.37
West Bengal,Sugarcane,Black Soil,Drip,615.3,28.8,76.9,47.8,93.8,6.1,5.2,5.77
West Bengal,Cotton,Sandy,Rainfed,406.0,30.7,61.7,36.8,107.8,3.9,3.3,3.97
Andhra Pradesh,Maize,Black Soil,Drip,602.9,30.1,90.6,38.0,149.1,3.6,4.2,5.84
Karnataka,Cotton,Clay,Rainfed,1111.2,31.7,56.9,51.7,133.2,6.1,3.1,5.82
Maharashtra,Wheat,Black Soil,Canal,503.8,21.7,77.7,36.7,122.8,10.5,1.5,4.94
Tamil Nadu,Groundnut,Black Soil,Sprinkler,857.7,29.3,84.5,57.6,94.7,3.9,2.2,5.75
West Bengal,Cotton,Clay,Sprinkler,1007.5,29.8,65.9,41.3,45.6,9.5,4.1,5.13
Tamil Nadu,Rice,Red Soil,Sprinkler,842.8,27.7,54.6,35.4,47.7,4.6,3.3,5.19
Tamil Nadu,Wheat,Black Soil,Drip,867.8,31.1,81.9,36.5,56.8,1.6,4.8,4.59
Tamil Nadu,Groundnut,Black Soil,Rainfed,924.2,35.7,70.4,42.7,104.8,8.6,0.1,5.63
Andhra Pradesh,Maize,Red Soil,Rainfed,863.4,28.6,77.8,50.8,149.8,11.9,0.5,6.25
West Bengal,Groundnut,Black Soil,Canal,1134.0,30.8,66.7,57.9,148.8,4.4,0.7,7.1
Tamil Nadu,Rice,Black Soil,Drip,551.1,34.4,88.8,35.1,142.8,2.3,3.8,4.93
Maharashtra,Wheat,Black Soil,Canal,832.9,28.6,42.6,45.7,97.0,8.4,1.0,5.58
Punjab,Maize,Loamy,Rainfed,380.0,24.4,72.5,27.8,155.0,4.2,4.1,5.1
Tamil Nadu,Rice,Red Soil,Rainfed,323.8,30.5,84.1,27.0,,8.6,4.9,3.39
Andhra Pradesh,Groundnut,Black Soil,Sprinkler,762.0,19.2,69.3,47.5,144.9,10.5,6.2,6.21
West Bengal,Rice,Red Soil,Drip,899.5,18.8,71.6,53.8,56.4,8.0,6.0,5.12
Andhra Pradesh,Wheat,Sandy,Rainfed,1138.7,29.3,62.8,50.6,73.8,9.4,2.2,5.18
Tamil Nadu,Sugarcane,Sandy,Sprinkler,1312.4,18.6,68.2,67.6,172.8,9.4,0.5,7.95
West Bengal,Rice,Black Soil,Drip,1070.4,22.7,47.9,57.6,107.9,10.0,2.4,7.23
Punjab,Rice,Red Soil,Canal,940.0,26.5,59.4,58.0,91.2,7.1,5.3,6.62
Tamil Nadu,Groundnut,Red Soil,Drip,815.2,25.1,58.6,43.6,153.6,9.3,2.8,5.29
Andhra Pradesh,Groundnut,Red Soil,Drip,443.1,27.4,76.0,45.2,157.6,7.5,3.5,5.34
Karnataka,Maize,Loamy,Rainfed,747.9,32.5,61.1,56.8,99.8,8.2,2.5,5.5
Maharashtra,Groundnut,Sandy,Rainfed,1063.9,29.0,61.5,49.1,124.7,16.2,6.3,4.94
Andhra Pradesh,Cotton,Red Soil,Drip,977.6,24.6,63.5,48.5,119.8,7.7,1.7,6.8
West Bengal,Wheat,Red Soil,Rainfed,497.0,33.4,59.0,31.7,30.0,2.5,3.6,3.46
Tamil Nadu,Wheat,Loamy,Rainfed,915.1,22.3,71.2,41.0,66.1,6.4,5.5,4.91
Maharashtra,Sugarcane,Loamy,Rainfed,896.2,28.9,72.5,40.6,148.0,6.1,6.8,5.76
Tamil Nadu,Sugarcane,Red Soil,Sprinkler,,21.8,77.9,41.6,85.9,6.2,2.2,5.25
West Bengal,Wheat,Clay,Sprinkler,773.9,29.0,75.8,46.0,133.5,9.9,5.2,5.47
Tamil Nadu,Sugarcane,Red Soil,Drip,926.4,26.7,74.6,43.5,124.2,10.4,2.4,6.62
Karnataka,Maize,Red Soil,Rainfed,933.4,32.3,64.1,49.8,157.5,6.7,6.0,5.4
Maharashtra,Groundnut,Loamy,Sprinkler,638.9,30.9,63.3,42.6,67.3,2.8,6.6,4.86
Maharashtra,Wheat,Loamy,Drip,880.1,25.7,57.5,44.2,128.8,7.3,1.9,5.97
West Bengal,Sugarcane,Red Soil,Rainfed,738.3,24.9,57.3,43.1,112.7,5.4,4.7,4.66
Karnataka,Wheat,Red Soil,Canal,452.8,26.7,70.3,33.2,87.4,7.6,5.5,4.44
Andhra Pradesh,Cotton,Red Soil,Rainfed,656.4,35.5,59.4,39.5,87.1,6.6,3.0,4.17
Tamil Nadu,Rice,Loamy,Rainfed,436.0,34.5,85.6,31.0,123.0,10.6,4.5,4.07
Punjab,Groundnut,Red Soil,Sprinkler,995.6,24.1,67.5,50.4,137.0,7.8,4.6,5.69
Tamil Nadu,Wheat,Red Soil,Drip,858.3,31.2,86.0,42.9,117.2,5.4,7.1,5.28
Tamil Nadu,Rice,Black Soil,Drip,701.8,21.1,74.9,35.5,118.3,2.8,0.0,5.82
Andhra Pradesh,Sugarcane,Clay,Sprinkler,1092.5,26.2,58.7,55.9,97.6,6.9,3.4,6.81
Tamil Nadu,Rice,Sandy,Rainfed,795.0,24.3,67.3,48.6,99.9,6.9,1.2,4.72
Karnataka,Groundnut,Clay,Canal,465.1,32.3,47.9,43.3,87.3,6.2,3.5,4.43
Karnataka,Wheat,Black Soil,Rainfed,683.3,22.8,70.3,35.9,96.8,9.3,2.1,5.26
Maharashtra,Cotton,Sandy,Rainfed,1139.2,29.7,59.8,50.6,135.8,2.9,3.0,4.21
West Bengal,Sugarcane,Red Soil,Canal,632.7,28.0,54.6,42.2,139.7,4.7,1.9,5.7
Punjab,Wheat,Black Soil,Sprinkler,840.5,27.3,86.3,43.0,70.3,7.2,3.8,5.27
Tamil Nadu,Groundnut,Red Soil,Drip,943.7,34.7,80.4,52.0,83.6,5.3,5.4,5.29
Tamil Nadu,Sugarcane,Loamy,Sprinkler,909.8,35.0,80.0,50.7,90.1,5.9,2.8,5.86
Andhra Pradesh,Maize,Black Soil,Sprinkler,1318.9,27.4,77.4,60.8,112.8,6.8,6.1,6.99
West Bengal,Rice,Loamy,Rainfed,521.2,26.6,53.2,46.8,56.1,9.1,5.4,5.3
Karnataka,Groundnut,Black Soil,Drip,543.2,22.0,63.2,42.4,84.2,6.7,7.2,4.15
Punjab,Maize,Black Soil,Drip,524.9,28.0,63.9,39.0,66.5,1.1,4.2,4.74
Maharashtra,Wheat,Loamy,Sprinkler,714.9,35.8,47.5,41.7,129.0,5.2,3.4,5.22
Karnataka,Cotton,Sandy,Canal,1021.9,27.5,61.3,49.8,114.0,8.5,0.6,6.07
West Bengal,Sugarcane,Clay,Sprinkler,553.0,30.9,61.4,32.4,98.8,9.3,2.1,5.32
Maharashtra,Rice,Red Soil,Canal,1024.9,22.4,69.5,40.0,77.8,9.5,3.1,5.56
Andhra Pradesh,Sugarcane,Black Soil,Drip,787.7,26.3,95.0,47.5,99.4,10.3,3.3,6.26
Andhra Pradesh,Wheat,Red Soil,Sprinkler,536.0,29.8,67.7,45.7,95.2,7.4,7.7,4.41
Tamil Nadu,Sugarcane,Loamy,Rainfed,394.7,28.4,69.5,32.9,172.2,7.8,3.1,5.5
West Bengal,Rice,Red Soil,Sprinkler,443.9,31.3,65.0,45.6,149.9,4.0,0.3,5.68
Punjab,Wheat,Loamy,Drip,633.5,25.6,76.9,39.8,90.8,0.5,4.7,4.66
Maharashtra,Sugarcane,Red Soil,Rainfed,742.8,21.0,55.1,31.8,120.8,2.7,4.6,4.6
Karnataka,Cotton,Clay,Rainfed,1076.1,32.5,90.8,57.4,148.0,4.9,2.7,6.95
West Bengal,Groundnut,Clay,Canal,955.8,24.3,66.5,46.0,90.8,2.9,7.3,5.53
West Bengal,Wheat,Clay,Rainfed,595.4,30.0,63.3,45.9,65.4,6.1,0.1,4.67
Andhra Pradesh,Groundnut,Clay,Rainfed,869.9,29.8,79.6,39.1,52.1,5.6,5.7,4.4
Tamil Nadu,Wheat,Clay,Sprinkler,1143.3,21.3,57.3,56.1,159.5,9.8,3.0,6.97
Tamil Nadu,Cotton,Clay,Drip,1192.3,32.2,76.6,50.0,108.3,4.1,1.8,6.71
Maharashtra,Groundnut,Loamy,Canal,710.8,25.7,84.9,44.0,125.2,7.4,7.8,4.82
Andhra Pradesh,Maize,Black Soil,Sprinkler,990.8,28.2,65.1,54.4,94.9,5.7,4.8,6.11
West Bengal,Rice,Red Soil,Rainfed,1085.8,26.6,92.6,55.4,70.6,4.0,3.0,5.34
Punjab,Maize,Clay,Rainfed,448.4,34.5,75.7,36.6,77.2,4.8,2.9,4.66
Andhra Pradesh,Sugarcane,Loamy,Canal,667.3,33.4,75.9,33.4,68.1,0.8,4.0,5.08
